Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a0553cce6c487aa3314db2c,69a91fa255ab8e22605e3312,APPROVED,Not Applicable,2026-05-14T04:47:22.667000Z,2026-05-14T05:01:10.044000Z,2026-05-28T15:46:51.998000Z,2026-05-14T05:01:10.387173Z,828.0,XXXXXXX,300,25,Male,Black,South Sudan,United States,United States,English,No,Unemployed (and job seeking)
6a05543a3e5e545c21997b8c,66ad0fdfa69994bd8a10c6df,APPROVED,Not Applicable,2026-05-14T04:50:43.707000Z,2026-05-14T05:02:36.475000Z,2026-05-28T15:46:54.116000Z,2026-05-14T05:02:36.836813Z,713.0,NOCODE,82,19,Male,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6a05543a4ad821de75522a1c,6630507adb67ce41b671eea9,APPROVED,Not Applicable,2026-05-14T04:49:01.870000Z,2026-05-14T04:52:31.190000Z,2026-05-28T15:47:30.325000Z,2026-05-14T04:52:31.538299Z,210.0,NOCODE,1097,41,Female,White,Canada,United States,United States,English,No,Full-Time
6a05544d3296cf6dc215e0da,69e05ecc7c1f70dac92ea11c,APPROVED,Not Applicable,2026-05-14T04:49:23.088000Z,2026-05-14T04:57:26.513000Z,2026-05-28T15:46:54.854000Z,2026-05-14T04:57:26.857681Z,484.0,NOCODE,120,30,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6a05549769960330c86e49fb,69bbafdf6ef27684d1714381,APPROVED,Not Applicable,2026-05-14T04:50:51.047000Z,2026-05-14T05:24:57.313000Z,2026-05-28T15:46:55.717000Z,2026-05-14T05:24:57.681041Z,2047.0,VXXXXXXX,199,55,Male,Black,United States,United States,United States,English,No,Full-Time
6a0554a3cdf0c7922c739893,663ab8a4d5bff4596f9a9de7,APPROVED,Not Applicable,2026-05-14T04:50:46.819000Z,2026-05-14T05:02:07.588000Z,2026-05-28T15:46:56.458000Z,2026-05-14T05:02:07.967963Z,681.0,NOCODE,2029,22,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6a0554bbabc65069ee7d7d1d,675cb36b51ef22e70c4da7e2,APPROVED,Not Applicable,2026-05-14T04:51:14.233000Z,2026-05-14T05:08:50.921000Z,2026-05-28T15:46:57.371000Z,2026-05-14T05:08:51.289447Z,1057.0,NOCODE,4482,57,Female,White,United States,United States,United States,English,No,Part-Time
6a0554cd98e75cd38e43f515,69c21cbc7765ed3f3d4325b6,APPROVED,Not Applicable,2026-05-14T04:51:28.992000Z,2026-05-14T05:05:24.403000Z,2026-05-28T15:46:57.924000Z,2026-05-14T05:05:24.756523Z,836.0,NOCODE,58,23,Male,Mixed,United States,United States,United States,English,No,Full-Time
6a0554da47951668cc653cbc,65a7027c88eae2b9a68ae596,APPROVED,Not Applicable,2026-05-14T04:51:51.048000Z,2026-05-14T05:08:21.146000Z,2026-05-28T15:46:58.279000Z,2026-05-14T05:08:21.501873Z,991.0,XXXXXXX,12486,53,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6a055515b248012ab904a5b9,65edd3b5dab4b33aaf29cbd0,APPROVED,Not Applicable,2026-05-14T05:00:10.052000Z,2026-05-14T05:17:35.957000Z,2026-05-28T15:46:58.633000Z,2026-05-14T05:17:36.325162Z,1046.0,NOCODE,7053,58,Female,White,United States,United States,United States,English,No,Full-Time
